,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
65,65,softmaxBeta-1_27,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(1, 5), [1, 6], [1, 7], [1, 8], [2, 8], [3, 8], [4, 8], [5, 8], [6, 8], [6, 9], [6, 10]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,"(1, 5)","(8, 8)","(6, 10)",expRect,0.0,10.0,2.0,23.0
66,66,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(1, 3), [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [2, 12], [2, 13], [3, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",0,"(1, 3)","(3, 13)","(13, 5)",rect,2.0,12.0,4.0,8.0
67,67,softmaxBeta-1_27,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(12, 3), [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [11, 9], [12, 10], [11, 10], [10, 10], [9, 10], [9, 11], [8, 11], [9, 12], [8, 12], [7, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0)]","[8, 14]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",2,"(12, 3)","(7, 12)","(1, 6)",expRect,0.0,14.0,6.0,23.0
68,68,softmaxBeta-1_27,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(3, 2), [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [4, 9], [5, 8], [5, 9], [5, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[9],"[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",1,"(3, 2)","(5, 10)","(13, 4)",rect,2.0,10.0,2.0,8.0
69,69,softmaxBeta-1_27,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(3, 13), [4, 13], [5, 13], [6, 13], [7, 13], [8, 13], [9, 13], [10, 13], [11, 13], [12, 13], [12, 12], [13, 12], [13, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0]",0,"(3, 13)","(5, 1)","(13, 11)",rect,2.0,12.0,4.0,8.0
70,70,softmaxBeta-1_27,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(2, 3), [2, 4], [2, 5], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [1, 10], [2, 10], [3, 10], [3, 11], [4, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[3],"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0]",1,"(2, 3)","(4, 11)","(12, 5)",rect,2.0,10.0,2.0,8.0
71,71,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1]","[(5, 5), [5, 6], [5, 7], [6, 8], [6, 10], [6, 11], [5, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]","[3, 4]","[1, 1, 1, 1, 1, 1]",2,"(5, 5)","(5, 11)","(12, 4)",none,2.0,6.0,6.0,0.0
72,72,softmaxBeta-1_27,"[0, 0, 0, 1, 1, 1, 1, 1, 1]","[(5, 2), [6, 2], [6, 3], [6, 4], [6, 5], [7, 5], [7, 6], [8, 6], [8, 7], [9, 7]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]",[10],"[2, 0, 0, 0, 2, 0, 2, 0, 2]",1,"(5, 2)","(5, 13)","(9, 7)",straightLine,2.0,9.0,4.0,5.0
73,73,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(2, 13), [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [8, 13], [9, 13], [11, 13], [11, 12], [13, 12], [12, 12], [11, 12], [10, 12], [10, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[10, 8]","[0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]",2,"(2, 13)","(4, 3)","(10, 11)",rect,2.0,10.0,2.0,8.0
74,74,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1]","[(8, 4), [9, 4], [10, 4], [11, 4], [12, 4], [13, 4], [13, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[],"[2, 2, 2, 2, 2, 2]",0,"(8, 4)","(8, 10)","(13, 3)",none,0.0,6.0,6.0,0.0
75,75,softmaxBeta-1_27,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(4, 6), [4, 7], [4, 8], [5, 8], [5, 9], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [8, 13], [9, 13]]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[5],"[0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 0]",1,"(4, 6)","(13, 9)","(9, 13)",expRect,0.0,12.0,4.0,23.0
76,76,softmaxBeta-1_27,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(1, 6), [0, 6], [1, 6], [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2], [9, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1,"(1, 6)","(9, 2)","(9, 10)",midLine,0.0,12.0,4.0,8.0
77,77,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1, 1, 1, 2]","[(1, 4), [1, 5], [1, 6], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [1, 9], [1, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[3],"[0, 0, 0, 0, 0, 0, 1, 1, 1]",1,"(1, 4)","(1, 10)","(5, 8)",straightLine,2.0,6.0,2.0,4.0
78,78,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(8, 11), [9, 11], [9, 10], [9, 9], [9, 11], [9, 10], [9, 9], [10, 9], [10, 8], [11, 8], [11, 7], [12, 7], [13, 7]]","[(1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"(8, 11)","(13, 7)","(11, 5)",expRect,0.0,9.0,2.0,19.0
79,79,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(2, 4), [0, 4], [0, 5], [0, 6], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13], [2, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]","[1, 4]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",2,"(2, 4)","(2, 13)","(4, 11)",straightLine,0.0,9.0,2.0,7.0
80,80,softmaxBeta-1_27,"[1, 1, 1, 1, 1, 1, 2, 2]","[(1, 6), [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]",0,"(1, 6)","(7, 12)","(9, 6)",straightLine,4.0,8.0,2.0,6.0
81,81,softmaxBeta-1_27,"[1, 1, 1, 1, 1, 1]","[(2, 6), [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 1, 1]",0,"(2, 6)","(2, 12)","(8, 6)",none,0.0,6.0,6.0,0.0
82,82,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 1, 1, 1, 1]","[(4, 7), [4, 8], [4, 9], [2, 9], [2, 10], [2, 11], [2, 12], [3, 12], [3, 13], [4, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[3],"[1, 1, 1, 1, 1, 1, 0, 1, 0]",1,"(4, 7)","(4, 13)","(6, 1)",none,2.0,6.0,6.0,0.0
83,83,softmaxBeta-1_27,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(2, 10), [3, 10], [4, 10], [5, 10], [5, 12], [3, 12], [4, 12], [5, 12], [6, 12], [7, 12], [8, 12], [9, 12], [10, 12], [11, 12], [12, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"(2, 10)","(12, 12)","(13, 7)",midLine,2.0,12.0,2.0,10.0
84,84,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 0]","[(5, 8), [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 2, 2]",0,"(5, 8)","(9, 12)","(11, 8)",straightLine,2.0,6.0,2.0,4.0
85,85,softmaxBeta-1_27,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(2, 11), [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [1, 7], [1, 6], [1, 5], [2, 5], [2, 4], [3, 4], [3, 3], [4, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0)]",[6],"[0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0]",1,"(2, 11)","(4, 3)","(12, 9)",rect,2.0,10.0,2.0,8.0
86,86,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(2, 11), [2, 10], [2, 12], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [3, 6], [3, 5], [3, 4], [3, 3], [4, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[2, 8]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",2,"(2, 11)","(4, 3)","(12, 9)",rect,2.0,10.0,2.0,8.0
87,87,softmaxBeta-1_27,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[(1, 4), [0, 5], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [8, 4], [8, 3], [8, 2], [9, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",1,"(1, 4)","(9, 2)","(9, 8)",midLine,2.0,10.0,2.0,8.0
88,88,softmaxBeta-1_27,"[0, 1, 1, 1, 1, 1, 1, 1, 2]","[(8, 6), [8, 7], [8, 8], [6, 8], [6, 9], [6, 10], [6, 11], [7, 11], [7, 12], [8, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[3],"[1, 1, 1, 1, 1, 1, 0, 1, 0]",1,"(8, 6)","(8, 12)","(13, 3)",none,2.0,6.0,6.0,0.0
