,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,0,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(3, 1), [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [11, 2], [11, 3], [11, 4], [12, 4], [12, 5], [13, 5], [13, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]",0,"(3, 1)","(13, 6)","(7, 12)",expRect,0.0,15.0,6.0,29.0
1,1,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2]","[(1, 5), [1, 6], [0, 6], [0, 7], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [1, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[2, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",2,"(1, 5)","(1, 11)","(7, 5)",none,0.0,6.0,6.0,0.0
2,2,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 1]","[(6, 2), [6, 3], [6, 4], [6, 5], [6, 6], [8, 6], [8, 7], [7, 7], [7, 8], [6, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[5],"[0, 0, 0, 0, 1, 1, 1, 1, 1]",1,"(6, 2)","(6, 8)","(12, 6)",straightLine,4.0,6.0,2.0,4.0
3,3,softmaxBeta-1_5,"[0, 0, 1, 1, 1, 1, 1, 1, 1]","[(1, 7), [1, 8], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[2],"[1, 1, 1, 1, 1, 1, 1, 1, 0]",1,"(1, 7)","(1, 13)","(8, 6)",none,2.0,6.0,6.0,0.0
4,4,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(2, 5), [3, 5], [4, 5], [5, 5], [6, 5], [6, 4], [6, 3], [7, 3], [7, 2], [8, 2], [8, 1], [9, 1]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0]",0,"(2, 5)","(9, 1)","(10, 12)",midLine,4.0,11.0,4.0,7.0
5,5,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 2, 2]","[(6, 4), [6, 5], [6, 6], [6, 7], [6, 8], [8, 8], [9, 7], [9, 8], [9, 9], [8, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]","[6, 5]","[0, 0, 0, 0, 2, 0, 0, 0, 0]",2,"(6, 4)","(6, 13)","(8, 9)",straightLine,2.0,7.0,2.0,5.0
6,6,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4]","[(12, 2), [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [12, 10], [12, 11], [14, 11], [13, 11], [12, 11], [13, 12], [12, 12], [11, 12], [10, 12], [10, 13], [9, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]","[10, 13]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,"(12, 2)","(9, 13)","(3, 7)",expRect,0.0,14.0,6.0,23.0
7,7,softmaxBeta-1_5,"[0, 1, 1, 1, 1]","[(5, 3), [5, 4], [5, 5], [5, 6], [5, 8], [5, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[4],"[1, 1, 1, 1, 1]",1,"(5, 3)","(5, 9)","(13, 3)",none,2.0,6.0,6.0,0.0
8,8,softmaxBeta-1_5,"[0, 0, 1, 1, 1, 1, 1, 1]","[(13, 4), [13, 5], [13, 6], [13, 7], [12, 7], [11, 7], [10, 7], [10, 8], [10, 9]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,"(13, 4)","(10, 9)","(8, 7)",expRect,0.0,8.0,2.0,15.0
9,9,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[(12, 13), [11, 13], [10, 14], [9, 14], [8, 14], [7, 14], [6, 14], [5, 14], [4, 14], [4, 13], [4, 12], [4, 11], [3, 11], [3, 13], [3, 12], [3, 11], [3, 10], [2, 10], [2, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]","[13, 2]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",2,"(12, 13)","(2, 9)","(8, 3)",expRect,0.0,14.0,6.0,24.0
10,10,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1]","[(5, 5), [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 1, 1]",0,"(5, 5)","(5, 11)","(10, 2)",none,2.0,6.0,6.0,0.0
11,11,softmaxBeta-1_5,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(1, 4), [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1,"(1, 4)","(8, 2)","(10, 4)",straightLine,0.0,9.0,2.0,7.0
12,12,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1]","[(6, 2), [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,"(6, 2)","(6, 10)","(8, 8)",straightLine,0.0,8.0,2.0,6.0
13,13,softmaxBeta-1_5,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(5, 6), [5, 7], [5, 8], [5, 9], [4, 10], [5, 10], [6, 10], [7, 10], [7, 11], [8, 11], [8, 12], [8, 13]]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,"(5, 6)","(10, 11)","(8, 13)",expRect,0.0,10.0,2.0,23.0
14,14,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1]","[(4, 3), [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 4], [10, 3], [11, 2], [10, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (-1, 0)]","[6, 8]","[0, 0, 0, 0, 0, 2, 2, 2, 0]",2,"(4, 3)","(9, 7)","(10, 2)",midLine,2.0,7.0,2.0,5.0
15,15,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 0, 0, 1, 1]","[(1, 6), [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [1, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[1],"[1, 0, 1, 1, 1, 1, 1, 1, 0]",1,"(1, 6)","(1, 12)","(9, 6)",none,2.0,6.0,6.0,0.0
16,16,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(2, 11), [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [3, 4], [3, 3], [4, 3], [6, 3], [6, 2], [5, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (-1, 0)]",[11],"[0, 0, 0, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2]",1,"(2, 11)","(11, 8)","(5, 2)",expRect,0.0,12.0,6.0,15.0
17,17,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1]","[(6, 3), [7, 3], [8, 3], [8, 2], [9, 2], [9, 1], [10, 1]]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0)]",[9],"[2, 2, 2, 2, 2, 2]",1,"(6, 3)","(6, 13)","(10, 1)",none,4.0,6.0,6.0,0.0
18,18,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[(3, 2), [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [10, 3], [11, 3], [11, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]",[],"[0, 0, 2, 2, 2, 2, 2, 0, 2, 0]",0,"(3, 2)","(5, 12)","(11, 4)",rect,2.0,10.0,2.0,8.0
19,19,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1, 1, 1, 1]","[(12, 11), [12, 9], [12, 8], [12, 7], [12, 6], [11, 6], [10, 6], [10, 5], [9, 5], [9, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[10, 1]","[0, 0, 2, 2, 0, 0, 2, 0, 2]",2,"(12, 11)","(5, 8)","(9, 4)",expRect,0.0,10.0,4.0,15.0
20,20,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[(13, 12), [13, 11], [13, 10], [13, 9], [13, 8], [13, 7], [14, 6], [14, 5], [13, 5], [12, 5], [11, 5], [10, 5], [10, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[6],"[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 2]",1,"(13, 12)","(6, 8)","(10, 4)",expRect,0.0,11.0,4.0,19.0
21,21,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(1, 6), [2, 6], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5], [9, 4], [10, 4], [10, 3], [11, 3], [11, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,"(1, 6)","(11, 2)","(13, 8)",midLine,0.0,14.0,4.0,10.0
22,22,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2]","[(3, 7), [3, 8], [3, 9], [4, 9], [5, 9], [6, 9], [6, 10], [7, 10], [7, 11], [8, 11], [8, 12], [8, 13]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,"(3, 7)","(10, 11)","(8, 13)",expRect,0.0,11.0,2.0,29.0
23,23,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(1, 3), [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [0, 7], [0, 8], [0, 9], [0, 11], [0, 12], [1, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[9, 6]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",2,"(1, 3)","(1, 12)","(9, 8)",straightLine,4.0,9.0,4.0,5.0
24,24,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1, 1, 1, 1]","[(3, 6), [4, 6], [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [7, 5], [7, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",1,"(3, 6)","(7, 4)","(8, 9)",midLine,2.0,6.0,2.0,4.0
25,25,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1]","[(7, 1), [8, 1], [9, 1], [10, 1], [11, 1], [12, 1], [13, 1]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[2, 2, 2, 2, 2, 2]",0,"(7, 1)","(7, 7)","(13, 1)",none,0.0,6.0,6.0,0.0
26,26,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(13, 2), [13, 3], [13, 4], [13, 5], [13, 6], [13, 7], [13, 8], [13, 9], [13, 10], [12, 10], [12, 11], [13, 10], [12, 10], [11, 9], [11, 10], [11, 11], [11, 12], [10, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]","[11, 13]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]",2,"(13, 2)","(10, 12)","(4, 6)",expRect,0.0,13.0,6.0,19.0
27,27,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 1, 2]","[(5, 7), [5, 8], [5, 9], [3, 9], [3, 10], [3, 11], [3, 12], [4, 12], [4, 13], [5, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[3],"[1, 1, 1, 1, 1, 1, 0, 1, 0]",1,"(5, 7)","(5, 13)","(11, 7)",none,0.0,6.0,6.0,0.0
28,28,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(3, 3), [4, 3], [5, 3], [6, 3], [7, 3], [7, 1], [8, 1], [9, 1], [9, 2], [9, 3], [10, 3], [10, 4], [11, 4], [11, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1)]",[5],"[0, 0, 2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0]",1,"(3, 3)","(5, 13)","(11, 5)",rect,2.0,10.0,2.0,8.0
29,29,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(3, 13), [4, 13], [5, 13], [6, 13], [7, 13], [8, 13], [7, 12], [8, 12], [9, 12], [10, 12], [11, 12], [12, 12], [13, 12], [13, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",1,"(3, 13)","(11, 7)","(13, 13)",straightLine,4.0,10.0,2.0,8.0
30,30,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(5, 13), [6, 13], [7, 13], [8, 13], [9, 13], [10, 13], [11, 13], [12, 13], [12, 12], [13, 12], [13, 14], [13, 13], [13, 12], [13, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[10],"[0, 0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0]",1,"(5, 13)","(7, 3)","(13, 11)",rect,2.0,10.0,2.0,8.0
31,31,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[(10, 3), [9, 3], [8, 3], [7, 3], [6, 3], [6, 4], [6, 5], [5, 5], [5, 6], [4, 6], [4, 7], [3, 7], [3, 8], [2, 8]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2]",0,"(10, 3)","(6, 12)","(2, 8)",expRect,0.0,13.0,4.0,29.0
32,32,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(2, 10), [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [3, 4], [2, 3], [3, 3], [4, 3], [5, 3], [5, 1], [6, 1], [7, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]","[8, 12]","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0]",2,"(2, 10)","(11, 5)","(7, 1)",expRect,0.0,14.0,4.0,35.0
33,33,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1]","[(1, 6), [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [7, 5]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 2, 2]",0,"(1, 6)","(6, 8)","(7, 5)",midLine,0.0,7.0,2.0,5.0
34,34,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[(5, 9), [6, 9], [7, 9], [8, 9], [9, 9], [9, 7], [10, 7], [10, 5], [10, 6], [11, 6], [11, 7], [12, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]","[7, 5]","[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2]",2,"(5, 9)","(10, 11)","(12, 7)",midLine,2.0,7.0,2.0,5.0
35,35,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 1, 2]","[(1, 4), [2, 4], [3, 4], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [7, 3], [8, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[3],"[0, 0, 0, 0, 0, 2, 2, 0, 2]",1,"(1, 4)","(5, 8)","(8, 3)",midLine,0.0,8.0,4.0,4.0
36,36,softmaxBeta-1_5,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(1, 3), [1, 4], [1, 5], [1, 6], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [1, 12], [2, 12], [2, 13], [3, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0)]","[4, 10]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",2,"(1, 3)","(3, 13)","(13, 5)",rect,2.0,12.0,4.0,8.0
37,37,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[(1, 13), [1, 12], [1, 11], [1, 10], [1, 9], [1, 8], [1, 7], [1, 6], [2, 6], [2, 5], [3, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",0,"(1, 13)","(3, 5)","(13, 11)",rect,4.0,10.0,2.0,8.0
38,38,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 1]","[(1, 12), [1, 11], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [3, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[2],"[0, 0, 1, 1, 1, 1, 1, 1, 0]",1,"(1, 12)","(3, 4)","(11, 10)",rect,2.0,10.0,2.0,8.0
39,39,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[(3, 12), [4, 12], [5, 12], [6, 12], [7, 12], [8, 12], [9, 12], [8, 13], [9, 13], [10, 13], [10, 12], [10, 11], [10, 10], [11, 10], [11, 9], [12, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]",[7],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]",1,"(3, 12)","(12, 9)","(8, 5)",expRect,0.0,12.0,4.0,23.0
40,40,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(11, 2), [9, 2], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [10, 7], [10, 8], [11, 8], [11, 9], [12, 9], [13, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,"(11, 2)","(11, 11)","(13, 9)",straightLine,0.0,9.0,2.0,7.0
41,41,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(4, 11), [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11], [11, 11], [12, 11], [12, 12], [13, 12], [13, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]",[12],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,"(4, 11)","(13, 7)","(13, 13)",midLine,2.0,11.0,2.0,9.0
42,42,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(3, 9), [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [3, 3], [3, 2], [4, 2], [4, 1], [5, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",0,"(3, 9)","(5, 1)","(13, 7)",rect,2.0,10.0,2.0,8.0
43,43,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[(4, 2), [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [11, 2], [12, 3], [12, 5], [12, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, -1)]","[9, 8]","[0, 0, 2, 2, 2, 2, 2, 0, 0, 2]",2,"(4, 2)","(6, 12)","(12, 4)",rect,2.0,10.0,2.0,8.0
44,44,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(1, 9), [1, 8], [1, 7], [1, 6], [1, 5], [2, 5], [3, 5], [4, 6], [4, 5], [4, 4], [4, 3], [5, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[7],"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1,"(1, 9)","(5, 3)","(11, 13)",midLine,4.0,10.0,6.0,4.0
45,45,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(2, 5), [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 8], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [1, 13], [2, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[7, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",2,"(2, 5)","(2, 13)","(6, 11)",straightLine,2.0,8.0,2.0,6.0
46,46,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(1, 1), [2, 1], [3, 1], [4, 1], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [9, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]",[4],"[0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]",1,"(1, 1)","(3, 11)","(9, 3)",rect,2.0,10.0,2.0,8.0
47,47,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1]","[(5, 10), [6, 10], [7, 10], [8, 10], [9, 10], [9, 9], [10, 9], [10, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 1, 0, 1]",0,"(5, 10)","(10, 8)","(13, 13)",midLine,4.0,7.0,2.0,5.0
48,48,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1, 1, 1, 1]","[(6, 5), [6, 6], [5, 6], [5, 7], [4, 7], [4, 8], [3, 8], [3, 9], [2, 9], [1, 9]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,"(6, 5)","(3, 11)","(1, 9)",expRect,0.0,9.0,2.0,19.0
49,49,softmaxBeta-1_5,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[(2, 13), [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [8, 13], [9, 13], [10, 13], [11, 13], [11, 12], [12, 12], [12, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1)]",[14],"[0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0]",1,"(2, 13)","(4, 1)","(12, 11)",rect,2.0,12.0,4.0,8.0
