,distanceDiff,index,playerGrid,target1,target2
0,1.0,96.0,"(2, 2)","(2, 13)","(12, 2)"
0,1.0,97.0,"(2, 3)","(2, 13)","(9, 1)"
0,1.0,98.0,"(2, 3)","(2, 13)","(10, 2)"
0,1.0,99.0,"(2, 3)","(2, 13)","(11, 3)"
0,1.0,100.0,"(3, 1)","(3, 11)","(12, 1)"
0,1.0,101.0,"(3, 1)","(3, 12)","(13, 1)"
0,1.0,102.0,"(3, 2)","(3, 12)","(11, 1)"
0,1.0,103.0,"(3, 2)","(3, 12)","(12, 2)"
0,1.0,104.0,"(3, 2)","(3, 13)","(12, 1)"
0,1.0,105.0,"(3, 2)","(3, 13)","(13, 2)"
0,1.0,106.0,"(3, 3)","(3, 13)","(10, 1)"
0,1.0,107.0,"(3, 3)","(3, 13)","(11, 2)"
0,1.0,108.0,"(3, 3)","(3, 13)","(12, 3)"
0,1.0,109.0,"(4, 1)","(4, 11)","(13, 1)"
0,1.0,110.0,"(4, 2)","(4, 12)","(12, 1)"
0,1.0,111.0,"(4, 2)","(4, 12)","(13, 2)"
0,1.0,112.0,"(4, 2)","(4, 13)","(13, 1)"
0,1.0,113.0,"(4, 3)","(4, 13)","(11, 1)"
0,1.0,114.0,"(4, 3)","(4, 13)","(12, 2)"
0,1.0,115.0,"(4, 3)","(4, 13)","(13, 3)"
0,1.0,116.0,"(5, 2)","(5, 12)","(13, 1)"
0,1.0,117.0,"(5, 3)","(5, 13)","(12, 1)"
0,1.0,118.0,"(5, 3)","(5, 13)","(13, 2)"
0,1.0,119.0,"(6, 3)","(6, 13)","(13, 1)"
0,3.0,120.0,"(1, 1)","(1, 13)","(10, 1)"
0,3.0,121.0,"(2, 1)","(2, 13)","(11, 1)"
0,3.0,122.0,"(3, 1)","(3, 13)","(12, 1)"
0,3.0,123.0,"(4, 1)","(4, 13)","(13, 1)"
