,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,width,height,direction
0,test,11,8,7,4,2,13,"[1603, 1909, 2125, 2301, 2490, 2790, 2985, 3177, 3340, 3501, 3669, 3840, 4018, 4168, 4322]","[(2, 13), [2, 13], [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",special,5,5,315
0,test,8,13,2,7,13,1,"[1908, 5086, 5390, 5910, 6990, 8251, 9538, 10089, 10406, 10640, 10827, 11009, 11349, 14776, 15359, 16052, 16496, 16832, 17857, 18034, 18214, 18390, 18786, 19323, 19496, 19680, 19934, 20118, 20285, 20449, 20621, 20785, 21227, 23132, 23309]","[(13, 1), [13, 1], [13, 1], [12, 1], [11, 1], [10, 1], [9, 1], [8, 1], [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [8, 13]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",special,5,6,135
0,test,13,7,7,13,1,2,"[1575, 1850, 2045, 2213, 2389, 2554, 2747, 3041, 3256, 3398, 3641, 3832, 3987, 4202, 4484, 4730, 4907, 5074, 5248, 5400, 5566, 5795]","[(1, 2), [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [6, 3], [6, 4], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2]",special,6,5,45
1,test,3,5,7,1,13,9,"[1852, 2024, 2199, 2332, 2464, 2622, 2766, 2934, 3097, 3268, 3428, 3602, 3918, 4454]","[(13, 9), [12, 9], [11, 9], [10, 9], [9, 9], [8, 9], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,6,4,225
0,test,13,7,7,13,2,1,"[1666, 1929, 2119, 2387, 2795, 3006, 3194, 3392, 3586, 3767, 3942, 4115, 4358, 4720, 4905, 5083, 5260, 5446, 5641, 5824]","[(2, 1), [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2]",special,5,6,45
1,test,1,6,6,1,10,12,"[1586, 1854, 2067, 2227, 2384, 2867, 3054, 3241, 3417, 3540, 3742, 3909, 4078, 4246, 4409, 4574, 4725]","[(10, 12), [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [7, 11], [7, 10], [7, 9], [6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2], [6, 1]]","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",0,4,6,225
0,test,11,7,6,2,2,12,"[1619, 1876, 2072, 2371, 2651, 2884, 3069, 3270, 3460, 3754, 12850, 13086, 13346, 13596, 13843]","[(2, 12), [3, 12], [4, 12], [5, 12], [6, 12], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [7, 8], [8, 8], [9, 8], [10, 8], [10, 7], [11, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 1]",1,4,5,315
1,test,5,5,9,1,13,9,"[2687, 2891, 3062, 3245, 3645, 3872, 4067, 4245, 4516, 5878, 6169, 6477]","[(13, 9), [12, 9], [11, 9], [10, 9], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,4,4,225
2,test,13,7,7,1,1,12,"[1753, 1860, 2217, 2405, 2603, 2775, 3506, 3741, 4059, 4271, 4551, 4763, 4926, 5103, 5287, 5478, 5708, 6008, 6256, 6529, 6786, 7054, 7359]","[(1, 12), [1, 14], [2, 14], [3, 14], [4, 14], [2, 14], [3, 14], [4, 14], [5, 14], [6, 14], [7, 14], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",2,6,5,315
3,test,7,12,1,6,13,2,"[2256, 2544, 2759, 2971, 3187, 3487, 3810, 4082, 6383, 6688, 6960, 8956, 9164, 9441, 9714, 10005]","[(13, 2), [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [7, 3], [5, 3], [5, 4], [5, 5], [4, 4], [4, 5], [4, 6], [3, 6], [2, 6], [1, 6]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[8, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",2,6,4,135
4,test,9,12,4,7,13,1,"[2001, 2245, 2405, 2600, 2755, 2939, 3194, 3361, 3537, 3732, 3942, 4171, 4457, 4509, 5599, 6065, 6614]","[(13, 1), [13, 2], [13, 3], [13, 4], [13, 5], [13, 6], [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [9, 8], [9, 9], [8, 9], [8, 10], [8, 11], [8, 12], [9, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 1]",0,4,6,135
5,test,12,7,8,11,4,2,"[1583, 1791, 1998, 2195, 2397, 2609, 2812, 3007, 3219, 3928, 4158, 4356, 4539, 4771, 5065, 5352, 5519, 5721]","[(4, 2), [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [5, 7], [6, 7], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [9, 7], [9, 8], [9, 9], [8, 9], [8, 10], [8, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 2, 2, 2]",1,4,5,45
6,test,11,7,7,3,1,11,"[1865, 2074, 2593, 2833, 3037, 3266, 3436, 3883, 4117, 4324, 4523, 4812, 5053, 5301, 9753, 9924, 10183, 10344]","[(1, 11), [0, 10], [1, 10], [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [6, 6], [6, 5], [6, 4], [6, 3], [7, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[1, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]",2,6,4,315
7,test,13,7,7,13,3,3,"[1570, 1838, 2029, 2256, 2487, 2882, 3101, 3404, 3601, 3777, 3971, 4184, 4418, 4624, 4812, 4999, 5204]","[(3, 3), [4, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",1,4,4,45
8,test,11,8,6,13,1,3,"[1625, 1868, 2058, 2447, 2651, 2904, 3077, 3279, 3451, 3635, 3927, 4147, 4629, 5172, 5457, 5746, 6314]","[(1, 3), [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2]",0,5,5,45
9,test,8,13,2,7,13,1,"[1601, 1881, 2099, 2269, 2454, 2640, 2869, 3161, 3357, 3543, 3738, 3928, 4110, 4306, 4507, 4702, 4883, 5070, 5750]","[(13, 1), [14, 1], [13, 1], [12, 1], [11, 1], [10, 1], [9, 1], [8, 1], [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [8, 13]]","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,5,6,135
10,test,9,13,3,7,13,1,"[1695, 1891, 2652, 2858, 3060, 3273, 3488, 3658, 3873, 4110, 4309, 4485, 4683, 4867, 5586, 5878]","[(13, 1), [13, 3], [12, 3], [11, 3], [10, 3], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [8, 7], [7, 7], [6, 7], [5, 6], [4, 6], [3, 6], [3, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[13, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]",2,4,6,135
11,test,13,6,8,11,2,2,"[1806, 2008, 2211, 2420, 2633, 2835, 3036, 3589, 3929, 4101, 4277, 4452, 4671, 4759, 5081, 5288, 5483, 5836]","[(2, 2), [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [7, 0], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2]",1,6,4,45
