,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone,firstIntentionConsistFinalGoal
40,33,test,"[1888, 2080, 2272, 2488, 2648, 2808, 3016, 3128, 3360, 3696, 3888, 4064]","[(1, 13), [1, 14], [2, 14], [3, 14], [4, 14], [4, 13], [4, 12], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 2]",1,"(1, 13)","(3, 1)","(9, 11)",rect,4.0,10.0,2.0,8.0,1
41,34,test,"[1668, 1987, 2235, 2420, 2604, 2804, 2988, 3180, 3364, 3612]","[(3, 2), [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,"(3, 2)","(5, 10)","(13, 4)",rect,2.0,10.0,2.0,8.0,1
42,35,test,"[1615, 1831, 2007, 2175, 2343, 2487, 2615]","[(4, 12), [6, 12], [7, 12], [8, 12], [9, 12], [10, 12], [11, 12], [12, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 10]","[0, 0, 0, 0, 0, 2, 2]",2,"(4, 12)","(10, 8)","(12, 12)",straightLine,2.0,8.0,2.0,6.0,1
43,36,test,"[1354, 1554, 1746, 1962, 2266, 2498, 2706, 2954, 3186, 3370]","[(4, 1), [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [12, 1], [12, 2], [12, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",0,"(4, 1)","(6, 13)","(12, 3)",rect,4.0,10.0,2.0,8.0,1
44,37,test,"[1771, 1939, 2203, 2387, 2611, 3075, 3355, 3547, 3771]","[(7, 3), [7, 4], [8, 4], [9, 4], [10, 4], [10, 2], [11, 2], [12, 2], [13, 2], [13, 3]]","[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[10, 5]","[1, 2, 2, 2, 2, 2, 2, 2, 0]",2,"(7, 3)","(7, 13)","(13, 3)",none,4.0,6.0,6.0,0.0,0
45,38,test,"[1989, 2853, 3045, 3237, 3429, 3621, 3973, 4181, 4366, 4566, 4758, 4942, 5182]","[(2, 4), [2, 5], [2, 6], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [3, 12], [3, 13], [4, 13], [5, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]",1,"(2, 4)","(9, 9)","(5, 13)",expRect,0.0,12.0,4.0,23.0,1
46,39,test,"[1985, 2225, 2441, 2641, 3017, 3385, 3689, 3905, 4201, 4377, 4657]","[(5, 10), [6, 10], [7, 10], [8, 10], [9, 10], [10, 10], [10, 9], [10, 8], [11, 8], [11, 7], [12, 7], [13, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",0,"(5, 10)","(13, 7)","(9, 3)",expRect,0.0,11.0,4.0,19.0,1
47,40,test,"[2086, 2270, 2454, 2662, 2886, 3070, 3230, 3510]","[(8, 5), [7, 4], [7, 3], [8, 4], [8, 3], [8, 2], [8, 1], [9, 1], [10, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[3, 1]","[2, 2, 2, 2, 2, 2, 2, 2]",2,"(8, 5)","(8, 13)","(10, 1)",none,2.0,6.0,6.0,0.0,1
48,41,test,"[1773, 1972, 2172, 2396, 2844, 3068, 3276]","[(7, 10), [8, 10], [9, 10], [9, 8], [10, 8], [10, 7], [10, 6], [11, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0)]",[3],"[0, 0, 0, 0, 1, 1, 0]",1,"(7, 10)","(11, 6)","(13, 12)",midLine,0.0,8.0,4.0,4.0,1
49,42,test,"[1725, 1957, 2157, 2389, 2589, 2813, 3021]","[(7, 8), [8, 8], [10, 8], [11, 8], [13, 8], [13, 9], [13, 10], [13, 11]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[2, 4]","[0, 0, 0, 0, 0, 0, 0]",2,"(7, 8)","(13, 11)","(11, 13)",expRect,0.0,9.0,2.0,19.0,1
