,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone,firstIntentionConsistFinalGoal
70,63,test,"[1882, 2138, 2370, 2570, 2850, 3162, 3378, 3562, 3906, 4138, 4282, 4498]","[(6, 9), [7, 9], [8, 9], [9, 9], [10, 9], [10, 10], [10, 11], [10, 12], [9, 11], [9, 12], [9, 13], [10, 13], [11, 13]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[8],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]",1,"(6, 9)","(11, 13)","(13, 7)",midLine,0.0,9.0,4.0,5.0,1
71,64,test,"[1681, 1921, 2537, 2769, 2969, 3137, 3393, 3641, 3953, 4185, 4593, 4825, 4993]","[(1, 8), [2, 8], [3, 8], [4, 8], [5, 8], [5, 6], [6, 6], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [10, 3], [10, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,"(1, 8)","(10, 2)","(12, 8)",straightLine,4.0,11.0,2.0,9.0,1
72,65,test,"[1901, 2093, 2277, 2453, 2636, 2829]","[(4, 6), [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[1, 1, 1, 1, 1, 1]",0,"(4, 6)","(4, 12)","(7, 1)",none,2.0,6.0,6.0,0.0,1
73,66,test,"[1910, 2110, 2294, 2414, 2622, 2830, 3014, 3190, 3350]","[(11, 5), [10, 5], [9, 5], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,"(11, 5)","(8, 11)","(6, 9)",expRect,0.0,9.0,2.0,19.0,1
74,67,test,"[1779, 1979, 2155, 2323, 2523, 2715, 3427, 3659, 3883]","[(8, 4), [8, 5], [8, 6], [8, 7], [8, 8], [10, 8], [9, 9], [10, 9], [11, 9], [12, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[6, 5]","[0, 0, 0, 0, 0, 0, 2, 2, 2]",2,"(8, 4)","(8, 11)","(12, 9)",straightLine,2.0,7.0,2.0,5.0,1
75,68,test,"[2036, 2412, 2644, 2884, 3124, 3348, 3484, 3756, 3972, 4180, 4420]","[(3, 11), [2, 10], [3, 10], [4, 10], [5, 10], [6, 10], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2]",1,"(3, 11)","(5, 1)","(11, 9)",rect,2.0,10.0,2.0,8.0,1
76,69,test,"[1884, 2115, 2356, 2580, 2779, 2979, 3115, 3355, 3555, 3795, 4011, 4211]","[(1, 1), [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [2, 11], [3, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0,"(1, 1)","(3, 11)","(9, 3)",rect,2.0,10.0,2.0,8.0,1
77,70,test,"[2057, 2297, 2913, 3097, 3313, 3529, 3713, 3937, 4129, 4305, 4521, 4705]","[(3, 11), [4, 11], [5, 11], [5, 10], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5], [5, 6], [5, 5], [5, 4], [5, 3]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[4, 9]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2,"(3, 11)","(5, 3)","(13, 9)",rect,2.0,10.0,2.0,8.0,1
78,71,test,"[1958, 2142, 2486, 2694, 2910, 3350, 3558, 3774, 4022]","[(13, 4), [11, 4], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[1],"[0, 0, 0, 0, 0, 1, 1, 1, 1]",1,"(13, 4)","(10, 11)","(6, 7)",expRect,0.0,10.0,4.0,15.0,1
79,72,test,"[1786, 2106, 2378, 2658, 2898, 3185]","[(2, 6), [3, 6], [4, 6], [5, 6], [5, 5], [6, 5], [8, 5]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]",[6],"[0, 0, 0, 2, 0, 0]",1,"(2, 6)","(7, 10)","(8, 5)",midLine,2.0,7.0,2.0,5.0,1
80,73,test,"[1851, 2155, 2419, 2643, 2883, 3139, 3435, 3635, 3979, 4219, 4435, 4715, 4980]","[(2, 5), [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13], [3, 13], [4, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[7],"[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0]",1,"(2, 5)","(4, 13)","(12, 7)",rect,2.0,10.0,2.0,8.0,1
81,74,test,"[1681, 1929, 2129, 2529, 2721, 2969, 3257, 3305, 3681]","[(1, 6), [2, 6], [3, 6], [4, 6], [4, 5], [6, 5], [7, 5], [8, 5], [8, 4], [9, 4]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[5],"[2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(1, 6)","(1, 12)","(9, 4)",none,4.0,6.0,6.0,0.0,1
82,75,test,"[2022, 2278, 2534, 2878, 3142, 3278, 3558, 3766, 3966, 4254, 4486, 5054, 5310, 5478]","[(3, 13), [4, 13], [5, 13], [6, 13], [6, 12], [6, 11], [7, 11], [8, 11], [9, 10], [10, 10], [11, 10], [12, 9], [12, 10], [12, 11], [11, 11]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]","[11, 8]","[0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0]",2,"(3, 13)","(5, 3)","(11, 11)",rect,2.0,10.0,2.0,8.0,1
83,76,test,"[1608, 2032, 2280, 2488, 2648, 2888, 3184, 3488, 3736, 4056, 4272]","[(3, 7), [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [9, 9], [10, 9], [11, 9], [12, 9]]","[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",0,"(3, 7)","(8, 3)","(12, 9)",midLine,2.0,9.0,4.0,5.0,1
84,77,test,"[2733, 2917, 3149, 3429, 3637, 4029, 4301, 4541, 4765, 4957, 5133]","[(4, 5), [5, 5], [6, 5], [7, 5], [6, 6], [6, 5], [6, 4], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[4],"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(4, 5)","(4, 11)","(10, 3)",none,2.0,6.0,6.0,0.0,1
85,78,test,"[1748, 1932, 2108, 2332, 2476, 2764, 2988, 3156, 3388, 3548]","[(4, 11), [5, 11], [6, 11], [6, 10], [7, 11], [8, 11], [9, 11], [10, 11], [11, 11], [12, 10], [12, 9]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]","[4, 9]","[0, 0, 0, 0, 2, 2, 2, 2, 0, 0]",2,"(4, 11)","(6, 1)","(12, 9)",rect,2.0,10.0,2.0,8.0,1
86,79,test,"[1797, 1990, 2213, 2349, 2742, 2981, 3133, 3261, 3477, 3653, 3813, 3957, 4093]","[(2, 3), [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0,"(2, 3)","(10, 8)","(6, 12)",expRect,0.0,13.0,4.0,29.0,1
87,80,test,"[1746, 1930, 2114, 2274, 2434, 2570, 2730, 2898, 3122, 3346, 3682]","[(2, 5), [2, 6], [2, 7], [2, 8], [2, 9], [4, 9], [4, 10], [4, 11], [4, 12], [5, 12], [6, 12], [7, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[5],"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]",1,"(2, 5)","(9, 10)","(7, 12)",expRect,0.0,12.0,2.0,35.0,1
88,81,test,"[1932, 2124, 2284, 2852, 3020, 3196, 3332, 3524, 3660, 3844, 3964, 4132, 4340, 4500, 4684, 4828, 4972, 5308, 5484]","[(5, 1), [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [5, 14], [6, 14], [7, 14], [7, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, -1)]",[11],"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1,"(5, 1)","(7, 13)","(13, 3)",rect,4.0,10.0,2.0,8.0,1
89,82,test,"[1626, 1849, 2057, 2201, 2425, 2465, 2634, 2889, 3105, 3353, 3561, 3729, 4025, 4217, 4425]","[(1, 8), [2, 8], [3, 8], [3, 9], [4, 9], [5, 9], [5, 10], [5, 8], [6, 8], [7, 8], [8, 8], [8, 9], [9, 9], [9, 10], [10, 10], [11, 10]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0)]",[7],"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,"(1, 8)","(11, 10)","(13, 4)",midLine,4.0,12.0,2.0,10.0,1
90,83,test,"[1705, 1929, 2097, 2313, 2497, 2681, 2881, 3065, 3241, 3425, 3993]","[(1, 2), [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [4, 10], [3, 10]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[10],"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",1,"(1, 2)","(3, 10)","(13, 4)",rect,4.0,10.0,2.0,8.0,1
91,84,test,"[1778, 2018, 2202, 2370, 2522]","[(9, 7), [9, 8], [9, 9], [9, 11], [9, 12], [9, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[3],"[1, 1, 1, 1, 1]",1,"(9, 7)","(9, 13)","(11, 3)",none,0.0,6.0,6.0,0.0,1
92,85,test,"[1730, 1970, 2218, 2530, 2794, 3002, 3201, 3361, 3641, 3810]","[(4, 6), [5, 6], [6, 6], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [12, 5], [12, 6], [13, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,"(4, 6)","(11, 12)","(13, 6)",straightLine,4.0,9.0,2.0,7.0,1
93,86,test,"[1795, 2003, 2155, 3051, 3291, 3507, 3659, 3859, 4067, 4235, 4499, 4691, 4883]","[(1, 2), [1, 3], [1, 4], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [9, 3], [9, 4]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[3],"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0]",1,"(1, 2)","(3, 12)","(9, 4)",rect,2.0,10.0,2.0,8.0,1
94,87,test,"[1902, 2086, 2254, 2662, 2854, 3038, 3310]","[(2, 9), [2, 10], [3, 9], [4, 9], [4, 10], [4, 11], [5, 11], [6, 11]]","[(0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0)]",[2],"[1, 1, 0, 1, 1, 0, 0]",1,"(2, 9)","(6, 11)","(12, 9)",straightLine,4.0,6.0,2.0,4.0,1
95,88,test,"[1858, 2098, 2386, 2618, 2954, 3218, 3378, 3627, 3843, 4027, 4131, 4331, 4627, 5043, 5275, 5499]","[(1, 13), [2, 13], [3, 13], [2, 12], [3, 12], [4, 12], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11], [8, 11], [9, 11], [10, 11], [11, 11]]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[13, 3]","[0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,"(1, 13)","(3, 1)","(11, 11)",rect,2.0,12.0,4.0,8.0,1
96,89,test,"[1809, 2009, 2209, 2409, 2625, 2817, 3041, 3185, 3385]","[(3, 1), [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 2, 2]",0,"(3, 1)","(3, 12)","(7, 6)",straightLine,2.0,9.0,4.0,5.0,1
97,90,test,"[1938, 2138, 2354, 2586, 3218, 3442, 3658, 4058, 4322, 4570, 4786, 5018, 5194, 5362, 5530, 5674, 5802, 5938, 6098, 6322]","[(1, 2), [1, 3], [1, 4], [2, 4], [0, 4], [1, 4], [0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [3, 12]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]","[6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,"(1, 2)","(3, 12)","(13, 4)",rect,2.0,12.0,4.0,8.0,0
98,91,test,"[1870, 2054, 2262, 2534, 2702, 3278, 3502, 3694, 3910, 4158, 4511, 4767]","[(3, 13), [4, 13], [5, 13], [5, 12], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11], [11, 11], [12, 11], [13, 11]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[14],"[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(3, 13)","(5, 1)","(13, 11)",rect,2.0,12.0,4.0,8.0,1
99,92,test,"[1901, 2085, 2309, 2581, 2853, 3029, 3205, 3389, 3565, 3733, 3909, 4045, 4205]","[(10, 2), [9, 2], [8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,"(10, 2)","(7, 12)","(1, 6)",expRect,0.0,13.0,6.0,19.0,1
100,93,test,"[2234, 2546, 2914, 3170, 3370, 3594]","[(7, 5), [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],"[2, 0, 0, 0, 0, 2]",0,"(7, 5)","(11, 9)","(12, 4)",midLine,2.0,6.0,2.0,4.0,1
101,94,test,"[1878, 2054, 2222, 2470, 2694, 2934, 3134, 3366, 3550, 3774, 4318]","[(12, 10), [11, 10], [10, 10], [9, 10], [8, 10], [7, 10], [7, 9], [7, 8], [7, 7], [6, 6], [6, 4], [6, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, 1)]","[9, 10]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",2,"(12, 10)","(6, 5)","(8, 3)",expRect,0.0,11.0,2.0,29.0,1
102,95,test,"[1870, 2053, 2245, 2461, 2638, 2870, 3086, 3398, 3574]","[(6, 6), [6, 7], [6, 8], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [6, 11], [6, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[3],"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,"(6, 6)","(6, 12)","(11, 3)",none,2.0,6.0,6.0,0.0,1
103,96,test,"[2030, 2206, 2446, 2670, 2950, 3150, 3414, 3630, 3862, 4102, 4334, 4422, 4886, 5078]","[(13, 1), [12, 1], [11, 1], [11, 2], [11, 3], [13, 3], [13, 4], [13, 5], [13, 6], [13, 7], [13, 8], [13, 9], [12, 9], [11, 9], [10, 9]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[5],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1,"(13, 1)","(10, 9)","(6, 5)",expRect,0.0,11.0,4.0,19.0,1
104,97,test,"[1998, 2222, 2430, 2790, 3022, 3262, 3470]","[(6, 4), [7, 4], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[2],"[2, 2, 2, 2, 2, 2, 2]",1,"(6, 4)","(6, 10)","(11, 3)",none,0.0,6.0,6.0,0.0,1
105,98,test,"[1796, 2196, 2436, 3060, 3324, 3556, 3843]","[(3, 7), [4, 7], [4, 6], [3, 5], [3, 4], [4, 4], [5, 4], [6, 4]]","[(1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]",[3],"[2, 2, 2, 2, 2, 2, 2]",1,"(3, 7)","(3, 13)","(6, 4)",none,0.0,6.0,6.0,0.0,1
106,99,test,"[1982, 2175, 2383, 2567, 2743, 3079, 3287, 3471, 3647, 3927]","[(11, 10), [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [5, 9], [5, 8], [5, 7], [5, 6]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,"(11, 10)","(5, 6)","(7, 4)",expRect,0.0,10.0,2.0,24.0,1
107,100,test,"[1900, 2084, 2300, 2532, 2724, 2924, 3108, 3372, 3572, 3748, 3964, 4252, 4388, 4604]","[(4, 1), [4, 2], [5, 1], [5, 2], [5, 3], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]","[5, 2]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,"(4, 1)","(6, 11)","(12, 3)",rect,2.0,10.0,2.0,8.0,1
108,101,test,"[1778, 2306, 2618, 2842, 3082, 3274, 3433, 3578, 3698]","[(8, 6), [6, 6], [6, 7], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8]]","[(1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[1],"[0, 2, 2, 0, 0, 0, 0, 0, 0]",1,"(8, 6)","(12, 4)","(12, 8)",midLine,0.0,6.0,2.0,4.0,1
109,102,test,"[1909, 2068, 2220, 2372, 2628, 2780, 2932, 3084, 3236, 3772]","[(1, 3), [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [3, 10], [3, 12], [3, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, -1)]","[9, 8]","[0, 0, 1, 1, 1, 1, 1, 1, 2, 0]",2,"(1, 3)","(3, 11)","(11, 5)",rect,2.0,10.0,2.0,8.0,0
110,103,test,"[1700, 1908, 2068, 2196, 2364, 2524, 2668, 2820, 2996, 3324, 3580, 4292]","[(1, 2), [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [1, 10], [1, 11], [1, 12], [2, 12], [3, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0,"(1, 2)","(3, 12)","(9, 4)",rect,2.0,10.0,2.0,8.0,1
111,104,test,"[1883, 2051, 2243, 2451, 2699, 2931, 3099, 3251, 3443]","[(11, 7), [12, 6], [12, 7], [12, 8], [12, 9], [12, 10], [12, 11], [12, 12], [12, 13], [11, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[1],"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1,"(11, 7)","(11, 13)","(13, 3)",none,0.0,6.0,6.0,0.0,1
112,105,test,"[1791, 1959, 2119, 2311, 2487, 2767, 2935, 3102, 3222]","[(10, 3), [9, 3], [8, 3], [7, 3], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"(10, 3)","(7, 10)","(5, 8)",expRect,0.0,10.0,2.0,23.0,1
113,106,test,"[1860, 2012, 2140, 2284, 2428, 2572, 2716, 2852, 2996]","[(2, 1), [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,"(2, 1)","(2, 10)","(6, 8)",straightLine,2.0,9.0,2.0,7.0,1
114,107,test,"[2310, 2502, 2775, 2967, 3159, 3303, 3511, 3679, 3815]","[(4, 5), [5, 4], [5, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 3]","[2, 2, 0, 0, 0, 2, 2, 2, 2]",2,"(4, 5)","(9, 13)","(13, 3)",midLine,2.0,11.0,6.0,5.0,1
115,108,test,"[1910, 2086, 2254, 2534, 2694, 2878, 3070, 3230, 3382, 3526, 4614, 4862, 5038, 5214, 5382, 5549, 5726]","[(10, 13), [9, 13], [8, 13], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 9], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8], [1, 8]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",10,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 1, 1, 1, 1, 1]",special,"(10, 13)","(1, 8)","(7, 2)",expRect,0.0,14.0,6.0,23.0,0
